Date,Close
2/1/2014,51.83
3/1/2014,51.87
6/1/2014,51.37
7/1/2014,48.5
8/1/2014,48.71
9/1/2014,48.15
10/1/2014,47.45
13/1/2014,48.12
14/1/2014,48.28
15/1/2014,47.2
16/1/2014,47.38
17/1/2014,47.15
21/1/2014,46.96
22/1/2014,47.68
23/1/2014,55.53
24/1/2014,55.15
27/1/2014,54.46
28/1/2014,58.11
29/1/2014,57.2
30/1/2014,57.81
31/1/2014,58.48
3/2/2014,57.77
4/2/2014,57.99
5/2/2014,57.77
6/2/2014,58.27
7/2/2014,61.43
10/2/2014,61.49
11/2/2014,62
12/2/2014,61.28
13/2/2014,62.36
14/2/2014,62.22
18/2/2014,62.41
19/2/2014,61.18
20/2/2014,62.14
21/2/2014,61.75
24/2/2014,63.86
25/2/2014,64.72
26/2/2014,64.11
27/2/2014,64.6
28/2/2014,63.66
3/3/2014,63.66
4/3/2014,65
5/3/2014,64.79
6/3/2014,64.36
7/3/2014,64.05
10/3/2014,62.85
11/3/2014,62.5
12/3/2014,62.37
13/3/2014,61.44
14/3/2014,60.64
17/3/2014,60.39
18/3/2014,60.04
19/3/2014,60.01
20/3/2014,60.61
21/3/2014,58
24/3/2014,54.13
25/3/2014,52.98
26/3/2014,53.18
27/3/2014,52.03
28/3/2014,51.27
31/3/2014,50.29
1/4/2014,52.1
2/4/2014,51.84
3/4/2014,50.67
4/4/2014,48.19
7/4/2014,48.29
8/4/2014,49.84
9/4/2014,50.43
10/4/2014,47.82
11/4/2014,46.67
14/4/2014,47.37
15/4/2014,46.61
16/4/2014,47.34
17/4/2014,49.39
21/4/2014,49.78
22/4/2014,53.27
23/4/2014,50.5
24/4/2014,49.15
25/4/2014,46.01
28/4/2014,44.89
29/4/2014,45.7
30/4/2014,46.01
1/5/2014,48.07
2/5/2014,48.66
5/5/2014,49.2
6/5/2014,46.6
7/5/2014,45.79
8/5/2014,45.95
9/5/2014,46.94
12/5/2014,49.35
13/5/2014,49.59
14/5/2014,50.27
15/5/2014,49.17
16/5/2014,49.98
19/5/2014,52.07
20/5/2014,53.1
21/5/2014,55.8
22/5/2014,55.97
23/5/2014,57.48
27/5/2014,56.97
28/5/2014,57.32
29/5/2014,59.31
30/5/2014,59.69
2/6/2014,60.29
3/6/2014,59.65
4/6/2014,60.46
5/6/2014,61.19
6/6/2014,61.45
9/6/2014,60.44
10/6/2014,61.18
11/6/2014,61.43
12/6/2014,60.35
13/6/2014,61.1
16/6/2014,61.47
17/6/2014,63.38
18/6/2014,64.1
19/6/2014,63.06
20/6/2014,62.88
23/6/2014,62.79
24/6/2014,62.34
25/6/2014,63.46
26/6/2014,62.8
27/6/2014,63.15
30/6/2014,62.94
1/7/2014,67.59
2/7/2014,66.68
3/7/2014,67.48
7/7/2014,65.8
8/7/2014,63.58
9/7/2014,63.29
10/7/2014,62.65
11/7/2014,62.85
14/7/2014,64.65
15/7/2014,64.16
16/7/2014,63.49
17/7/2014,62.77
18/7/2014,63.45
21/7/2014,64.56
22/7/2014,61.58
23/7/2014,61.13
24/7/2014,60.77
25/7/2014,60.27
28/7/2014,60.67
29/7/2014,60.61
30/7/2014,62.05
31/7/2014,60.39
1/8/2014,60.77
4/8/2014,60.39
5/8/2014,60.41
6/8/2014,61.47
7/8/2014,64.24
8/8/2014,63.69
11/8/2014,64.51
12/8/2014,63.77
13/8/2014,64.5
14/8/2014,64.41
15/8/2014,65.58
18/8/2014,66.57
19/8/2014,66.88
20/8/2014,67.46
21/8/2014,67.44
22/8/2014,68.46
25/8/2014,68.7
26/8/2014,68.48
27/8/2014,67.81
28/8/2014,67.89
29/8/2014,68.23
2/9/2014,68.09
3/9/2014,68.2
4/9/2014,67.52
5/9/2014,67.95
8/9/2014,68.48
9/9/2014,68.43
10/9/2014,69.2
11/9/2014,68.79
12/9/2014,68.08
15/9/2014,65.39
16/9/2014,65.27
17/9/2014,64.93
18/9/2014,65.57
19/9/2014,65.36
22/9/2014,63.25
23/9/2014,63.41
24/9/2014,64.37
25/9/2014,63.36
26/9/2014,64.11
29/9/2014,64.22
30/9/2014,64.45
1/10/2014,62.69
2/10/2014,64.28
3/10/2014,65.65
6/10/2014,66.21
7/10/2014,65.18
8/10/2014,66.69
9/10/2014,65.95
10/10/2014,64.58
13/10/2014,62.65
14/10/2014,64.16
15/10/2014,64.08
16/10/2014,51.67
17/10/2014,51.01
20/10/2014,51.32
21/10/2014,52.28
22/10/2014,53.52
23/10/2014,54.72
24/10/2014,55
27/10/2014,54.2
28/10/2014,55.17
29/10/2014,54.01
30/10/2014,54.14
31/10/2014,56.11
3/11/2014,55.49
4/11/2014,54.68
5/11/2014,54.34
6/11/2014,54.76
7/11/2014,54.88
10/11/2014,55.32
11/11/2014,54.65
12/11/2014,54.84
13/11/2014,54.2
14/11/2014,55.15
17/11/2014,54.45
18/11/2014,54.43
19/11/2014,51.87
20/11/2014,52.59
21/11/2014,51.47
24/11/2014,50.92
25/11/2014,49.86
26/11/2014,50.17
28/11/2014,49.51
1/12/2014,48.83
2/12/2014,50.33
3/12/2014,50.73
4/12/2014,50.09
5/12/2014,50.13
8/12/2014,48.5
9/12/2014,49.11
10/12/2014,47.76
11/12/2014,47.8
12/12/2014,47.78
15/12/2014,46.72
16/12/2014,45.21
17/12/2014,47.66
18/12/2014,47.77
19/12/2014,48.59
22/12/2014,48.1
23/12/2014,48.06
24/12/2014,48.87
26/12/2014,48.58
29/12/2014,48.85
30/12/2014,49.03
31/12/2014,48.8
2/1/2015,49.85
5/1/2015,47.31
6/1/2015,46.5
7/1/2015,46.74
8/1/2015,47.78
9/1/2015,47.04
12/1/2015,45.55
13/1/2015,46.26
14/1/2015,46.32
15/1/2015,46.25
16/1/2015,48.19
20/1/2015,49.83
21/1/2015,58.47
22/1/2015,61.21
23/1/2015,62.49
26/1/2015,63.79
27/1/2015,64.88
28/1/2015,63.21
29/1/2015,63.4
30/1/2015,63.11
2/2/2015,63.01
3/2/2015,65.27
4/2/2015,64.1
5/2/2015,64.13
6/2/2015,63.48
9/2/2015,63.3
10/2/2015,64.85
11/2/2015,64.98
12/2/2015,65.25
13/2/2015,66.59
17/2/2015,67.14
18/2/2015,67.87
19/2/2015,67.8
20/2/2015,68.31
23/2/2015,67.41
24/2/2015,67.84
25/2/2015,68.33
26/2/2015,69
27/2/2015,67.84
2/3/2015,68.61
3/3/2015,67.82
4/3/2015,67.11
5/3/2015,66.81
6/3/2015,64.87
9/3/2015,63.66
10/3/2015,62.15
11/3/2015,62.88
12/3/2015,64.05
13/3/2015,62.63
16/3/2015,60.28
17/3/2015,59.79
18/3/2015,60.45
19/3/2015,60.74
20/3/2015,61.19
23/3/2015,60.71
24/3/2015,62.61
25/3/2015,60.25
26/3/2015,59.75
27/3/2015,59.25
30/3/2015,60.37
31/3/2015,59.53
1/4/2015,59.02
2/4/2015,59.15
6/4/2015,60.33
7/4/2015,60.49
8/4/2015,63.05
9/4/2015,62.79
10/4/2015,64.94
13/4/2015,67.81
14/4/2015,68.39
15/4/2015,67.92
16/4/2015,80.29
17/4/2015,81.65
20/4/2015,81.06
21/4/2015,80.06
22/4/2015,79.67
23/4/2015,79.87
24/4/2015,79.77
27/4/2015,80.87
28/4/2015,80.44
29/4/2015,80.41
30/4/2015,79.5
1/5/2015,79.58
4/5/2015,79.27
5/5/2015,80.79
6/5/2015,80.08
7/5/2015,80.75
8/5/2015,82.09
11/5/2015,84.28
12/5/2015,83.38
13/5/2015,82.87
14/5/2015,83.84
15/5/2015,87.61
18/5/2015,88.27
19/5/2015,88.07
20/5/2015,88.79
21/5/2015,89
22/5/2015,88.84
26/5/2015,87.99
27/5/2015,89.86
28/5/2015,89.51
29/5/2015,89.15
1/6/2015,89
2/6/2015,89.13
3/6/2015,88.81
4/6/2015,89.35
5/6/2015,90.46
8/6/2015,89.6
9/6/2015,92.45
10/6/2015,95.87
11/6/2015,95.09
12/6/2015,94.42
15/6/2015,93.43
16/6/2015,95.27
17/6/2015,94.27
18/6/2015,94.74
19/6/2015,93.87
22/6/2015,96.41
23/6/2015,97.31
24/6/2015,96.94
25/6/2015,94.89
26/6/2015,93.09
29/6/2015,92.23
30/6/2015,93.85
1/7/2015,93.64
2/7/2015,94.04
6/7/2015,94.57
7/7/2015,94.09
8/7/2015,93.51
9/7/2015,95.73
10/7/2015,97.23
13/7/2015,101.09
14/7/2015,100.37
15/7/2015,98.13
16/7/2015,115.81
17/7/2015,114.77
20/7/2015,110.55
21/7/2015,112.51
22/7/2015,111.5
23/7/2015,110.1
24/7/2015,109.34
27/7/2015,106.43
28/7/2015,106.9
29/7/2015,107.08
30/7/2015,111.56
31/7/2015,114.31
3/8/2015,112.56
4/8/2015,121.15
5/8/2015,123.71
6/8/2015,126.45
7/8/2015,123.52
10/8/2015,123.03
11/8/2015,122.74
12/8/2015,120.51
13/8/2015,123.73
14/8/2015,123.39
17/8/2015,125.36
18/8/2015,124.05
19/8/2015,122.06
20/8/2015,112.49
21/8/2015,103.96
24/8/2015,96.88
25/8/2015,101.52
26/8/2015,110.13
27/8/2015,117.66
28/8/2015,117.63
31/8/2015,115.03
1/9/2015,105.79
2/9/2015,105.44
3/9/2015,101.06
4/9/2015,98.79
8/9/2015,94.95
9/9/2015,99.18
10/9/2015,99.48
11/9/2015,97.51
14/9/2015,95.69
15/9/2015,99.16
16/9/2015,104.08
17/9/2015,104.21
18/9/2015,102.62
21/9/2015,100.3
22/9/2015,98.47
23/9/2015,98.07
24/9/2015,103.76
25/9/2015,102.24
28/9/2015,99.47
29/9/2015,98.35
30/9/2015,103.26
1/10/2015,105.98
2/10/2015,106.11
5/10/2015,111.25
6/10/2015,108.33
7/10/2015,108.1
8/10/2015,114.93
9/10/2015,113.33
12/10/2015,113.45
13/10/2015,109.73
14/10/2015,110.23
15/10/2015,101.09
16/10/2015,98.99
19/10/2015,101.69
20/10/2015,98.99
21/10/2015,97.96
22/10/2015,97.32
23/10/2015,100.04
26/10/2015,103.04
27/10/2015,103.07
28/10/2015,105.8
29/10/2015,105.12
30/10/2015,108.38
2/11/2015,107.64
3/11/2015,109.74
4/11/2015,114.05
5/11/2015,113.5
6/11/2015,114.06
9/11/2015,109.86
10/11/2015,112.7
11/11/2015,112.86
12/11/2015,108.92
13/11/2015,103.65
16/11/2015,111.35
17/11/2015,117.1
18/11/2015,120.63
19/11/2015,120.22
20/11/2015,123.84
23/11/2015,125.03
24/11/2015,123.31
25/11/2015,124.16
27/11/2015,125.44
30/11/2015,123.33
1/12/2015,125.37
2/12/2015,128.93
3/12/2015,126.81
4/12/2015,130.93
7/12/2015,125.36
8/12/2015,126.98
9/12/2015,124.2
10/12/2015,122.91
11/12/2015,118.91
14/12/2015,120.67
15/12/2015,118.6
16/12/2015,122.64
17/12/2015,122.51
18/12/2015,118.02
21/12/2015,116.63
22/12/2015,116.24
23/12/2015,118.16
24/12/2015,117.33
28/12/2015,117.11
29/12/2015,119.12
30/12/2015,116.71
31/12/2015,114.38
4/1/2016,109.96
5/1/2016,107.66
6/1/2016,117.68
7/1/2016,114.56
8/1/2016,111.39
11/1/2016,114.97
12/1/2016,116.58
13/1/2016,106.56
14/1/2016,107.06
15/1/2016,104.04
19/1/2016,107.89
20/1/2016,107.74
21/1/2016,102.35
22/1/2016,100.72
25/1/2016,99.12
26/1/2016,97.83
27/1/2016,91.15
28/1/2016,94.41
29/1/2016,91.84
1/2/2016,94.09
2/2/2016,91.49
3/2/2016,90.74
4/2/2016,89.71
5/2/2016,82.79
8/2/2016,83.32
9/2/2016,86.13
10/2/2016,88.45
11/2/2016,86.35
12/2/2016,87.4
16/2/2016,89.05
17/2/2016,94.76
18/2/2016,90.49
19/2/2016,89.23
22/2/2016,91.93
23/2/2016,89.12
24/2/2016,91.61
25/2/2016,94.53
26/2/2016,94.79
29/2/2016,93.41
1/3/2016,98.3
2/3/2016,97.61
3/3/2016,97.93
4/3/2016,101.58
7/3/2016,95.49
8/3/2016,96.23
9/3/2016,98
10/3/2016,97.36
11/3/2016,97.66
14/3/2016,98.13
15/3/2016,97.86
16/3/2016,99.35
17/3/2016,99.72
18/3/2016,101.12
21/3/2016,101.06
22/3/2016,99.84
23/3/2016,99.59
24/3/2016,98.36
28/3/2016,101.21
29/3/2016,104.13
30/3/2016,102.19
31/3/2016,102.23
1/4/2016,105.7
4/4/2016,104.35
5/4/2016,104.94
6/4/2016,104.83
7/4/2016,104.45
8/4/2016,103.81
11/4/2016,102.68
12/4/2016,106.98
13/4/2016,109.65
14/4/2016,110.42
15/4/2016,111.51
18/4/2016,108.4
19/4/2016,94.34
20/4/2016,96.77
21/4/2016,94.98
22/4/2016,95.9
25/4/2016,93.56
26/4/2016,92.43
27/4/2016,91.04
28/4/2016,90.28
29/4/2016,90.03
2/5/2016,93.11
3/5/2016,91.54
4/5/2016,90.79
5/5/2016,89.37
6/5/2016,90.84
9/5/2016,90.54
10/5/2016,92.89
11/5/2016,90.02
12/5/2016,87.74
13/5/2016,87.88
16/5/2016,89.12
17/5/2016,88.63
18/5/2016,90.5
19/5/2016,89.55
20/5/2016,92.49
23/5/2016,94.89
24/5/2016,97.89
25/5/2016,100.2
26/5/2016,102.81
27/5/2016,103.3
31/5/2016,102.57
1/6/2016,101.51
2/6/2016,101.25
3/6/2016,99.59
6/6/2016,100.74
7/6/2016,99.89
8/6/2016,97.86
9/6/2016,97.09
10/6/2016,93.75
13/6/2016,93.85
14/6/2016,94.12
15/6/2016,94.29
16/6/2016,95.44
17/6/2016,94.45
20/6/2016,93.8
21/6/2016,90.99
22/6/2016,90.01
23/6/2016,91.66
24/6/2016,88.44
27/6/2016,85.33
28/6/2016,87.97
29/6/2016,91.06
30/6/2016,91.48
1/7/2016,96.67
5/7/2016,97.91
6/7/2016,94.6
7/7/2016,95.1
8/7/2016,97.06
11/7/2016,94.67
12/7/2016,95.97
13/7/2016,96.43
14/7/2016,98.02
15/7/2016,98.39
18/7/2016,98.81
19/7/2016,85.84
20/7/2016,87.91
21/7/2016,85.99
22/7/2016,85.89
25/7/2016,87.66
26/7/2016,91.41
27/7/2016,92.04
28/7/2016,91.65
29/7/2016,91.25
1/8/2016,94.37
2/8/2016,93.56
3/8/2016,93.1
4/8/2016,93.44
5/8/2016,97.03
8/8/2016,95.11
9/8/2016,93.99
10/8/2016,93.93
11/8/2016,95.89
12/8/2016,96.59
15/8/2016,95.31
16/8/2016,95.12
17/8/2016,96.37
18/8/2016,96.16
19/8/2016,95.87
22/8/2016,95.26
23/8/2016,95.94
24/8/2016,95.18
25/8/2016,97.32
26/8/2016,97.58
29/8/2016,97.3
30/8/2016,97.45
31/8/2016,97.45
1/9/2016,97.38
2/9/2016,97.38
6/9/2016,100.09
7/9/2016,99.15
8/9/2016,99.66
9/9/2016,96.5
12/9/2016,99.05
13/9/2016,96.09
14/9/2016,97.01
15/9/2016,97.34
16/9/2016,99.48
19/9/2016,98.06
20/9/2016,98.25
21/9/2016,94.88
22/9/2016,95.83
23/9/2016,95.94
26/9/2016,94.56
27/9/2016,97.07
28/9/2016,97.48
29/9/2016,96.67
30/9/2016,98.55
3/10/2016,102.63
4/10/2016,102.34
5/10/2016,106.28
6/10/2016,105.07
7/10/2016,104.82
10/10/2016,103.33
11/10/2016,100.59
12/10/2016,99.5
13/10/2016,100.23
14/10/2016,101.47
17/10/2016,99.8
18/10/2016,118.79
19/10/2016,121.87
20/10/2016,123.35
21/10/2016,127.5
24/10/2016,127.33
25/10/2016,126.51
26/10/2016,126.97
27/10/2016,126.47
28/10/2016,126.57
31/10/2016,124.87
1/11/2016,123.3
2/11/2016,122.34
3/11/2016,122.14
4/11/2016,122.03
7/11/2016,124.58
8/11/2016,124.34
9/11/2016,122.19
10/11/2016,115.42
11/11/2016,114.78
14/11/2016,113.38
15/11/2016,113.59
