Date,Close
5/6/2015,116.53
8/6/2015,116.91
9/6/2015,116.99
10/6/2015,118.55
11/6/2015,119.32
12/6/2015,117.65
15/6/2015,118.98
16/6/2015,121.55
17/6/2015,119.74
18/6/2015,120.89
19/6/2015,120.33
22/6/2015,120.25
23/6/2015,122.74
24/6/2015,119.17
25/6/2015,122.33
26/6/2015,123.25
29/6/2015,121.19
30/6/2015,122
1/7/2015,123.38
2/7/2015,121.81
6/7/2015,122.16
7/7/2015,120.7
8/7/2015,118.78
9/7/2015,119.34
10/7/2015,122.15
13/7/2015,122.45
14/7/2015,125
15/7/2015,125.86
16/7/2015,124.93
17/7/2015,123.85
20/7/2015,122.65
21/7/2015,120.86
22/7/2015,120.61
23/7/2015,119.33
24/7/2015,117.94
27/7/2015,117.88
28/7/2015,121.52
29/7/2015,121.52
30/7/2015,120.56
31/7/2015,121.4
3/8/2015,120.89
4/8/2015,120.84
5/8/2015,123.92
6/8/2015,122.04
7/8/2015,121.82
10/8/2015,122.48
11/8/2015,122.26
12/8/2015,121.2
13/8/2015,120.52
14/8/2015,121.02
17/8/2015,123.82
18/8/2015,125.5
19/8/2015,123.22
20/8/2015,119.79
21/8/2015,116.28
24/8/2015,110.43
25/8/2015,109.98
26/8/2015,113.46
27/8/2015,117.77
28/8/2015,117.28
31/8/2015,115.7
1/9/2015,112.63
2/9/2015,114.23
3/9/2015,113.99
4/9/2015,112.36
8/9/2015,116.09
9/9/2015,115.08
10/9/2015,116.77
11/9/2015,118.7
14/9/2015,117.8
15/9/2015,120.03
16/9/2015,121.15
17/9/2015,123.26
18/9/2015,122.47
21/9/2015,123.94
22/9/2015,122.93
23/9/2015,123.28
24/9/2015,121.09
25/9/2015,116.37
28/9/2015,112.7
29/9/2015,114.22
30/9/2015,116.01
1/10/2015,116.61
2/10/2015,118.83
5/10/2015,119.65
6/10/2015,116.05
7/10/2015,116.43
8/10/2015,116.08
9/10/2015,119.27
12/10/2015,122.51
13/10/2015,123.99
14/10/2015,122.07
15/10/2015,120.17
16/10/2015,119.98
19/10/2015,120.73
20/10/2015,120.42
21/10/2015,118.11
22/10/2015,113.81
23/10/2015,115.92
26/10/2015,116.53
27/10/2015,119.37
28/10/2015,119.78
29/10/2015,119.71
30/10/2015,117.78
2/11/2015,118.69
3/11/2015,117.66
4/11/2015,114.64
5/11/2015,116.23
6/11/2015,114.81
9/11/2015,114.26
10/11/2015,115.89
11/11/2015,114.54
12/11/2015,112.82
13/11/2015,111.41
16/11/2015,113.82
17/11/2015,114.39
18/11/2015,117.25
19/11/2015,110.63
20/11/2015,112.97
23/11/2015,112.16
24/11/2015,113.19
25/11/2015,114.41
27/11/2015,114.34
30/11/2015,112.71
1/12/2015,116.26
2/12/2015,117.64
3/12/2015,115
4/12/2015,117.74
7/12/2015,115.91
8/12/2015,115.88
9/12/2015,115.05
10/12/2015,116.21
11/12/2015,115.98
14/12/2015,115.85
15/12/2015,117.61
16/12/2015,118.83
17/12/2015,119.22
18/12/2015,115.82
21/12/2015,117.41
22/12/2015,117.44
23/12/2015,118.69
24/12/2015,118.34
28/12/2015,118.33
29/12/2015,119.82
30/12/2015,118.92
31/12/2015,117.64
4/1/2016,116.46
5/1/2016,116.68
6/1/2016,115.49
7/1/2016,112.09
8/1/2016,110.16
11/1/2016,109.58
12/1/2016,112.26
13/1/2016,109.23
14/1/2016,110.76
15/1/2016,109.27
19/1/2016,112.58
20/1/2016,114.79
21/1/2016,113.5
22/1/2016,114.33
25/1/2016,113.38
26/1/2016,113.96
27/1/2016,112.33
28/1/2016,111.38
29/1/2016,115.16
1/2/2016,115.89
2/2/2016,113.88
3/2/2016,112.75
4/2/2016,114.2
5/2/2016,111.72
8/2/2016,110.02
9/2/2016,111.16
10/2/2016,112.74
11/2/2016,110.62
12/2/2016,111.82
16/2/2016,115.15
17/2/2016,118.3
18/2/2016,117.45
19/2/2016,117.68
22/2/2016,121.27
23/2/2016,121.15
24/2/2016,120.2
25/2/2016,121.2
26/2/2016,121.33
29/2/2016,119.1
1/3/2016,121.67
2/3/2016,121.27
3/3/2016,121.82
4/3/2016,121.8
7/3/2016,121.76
8/3/2016,121.66
9/3/2016,121.1
10/3/2016,122.09
11/3/2016,125.1
14/3/2016,125.22
15/3/2016,124.85
16/3/2016,124.9
17/3/2016,124.53
18/3/2016,126.72
21/3/2016,126.74
22/3/2016,128.02
23/3/2016,129.79
24/3/2016,128.59
28/3/2016,128.92
29/3/2016,129.83
30/3/2016,129.68
31/3/2016,128.9
1/4/2016,129.92
4/4/2016,129.49
5/4/2016,127.04
6/4/2016,128.03
7/4/2016,126.87
8/4/2016,125.68
11/4/2016,126.33
12/4/2016,126.8
13/4/2016,127.76
14/4/2016,127.98
15/4/2016,127.33
18/4/2016,127.81
19/4/2016,130.5
20/4/2016,133.93
21/4/2016,132.96
22/4/2016,134.13
25/4/2016,133.78
26/4/2016,134.24
27/4/2016,132.8
28/4/2016,132.07
29/4/2016,131.68
2/5/2016,132.1
3/5/2016,132.46
4/5/2016,132.03
5/5/2016,132.31
6/5/2016,132.04
9/5/2016,132.67
10/5/2016,133.57
11/5/2016,130.69
12/5/2016,129.74
13/5/2016,129
16/5/2016,130.64
17/5/2016,129.56
18/5/2016,130.51
19/5/2016,130
20/5/2016,130.94
23/5/2016,130.42
24/5/2016,132.59
25/5/2016,133.42
26/5/2016,132.98
27/5/2016,134
31/5/2016,133.67
1/6/2016,134.53
2/6/2016,136.04
3/6/2016,136.84
6/6/2016,138.15
7/6/2016,136.94
8/6/2016,140.4
9/6/2016,140.68
10/6/2016,139.24
13/6/2016,138.09
14/6/2016,137.87
15/6/2016,137.26
16/6/2016,138.66
17/6/2016,137.69
20/6/2016,138.52
21/6/2016,138.19
22/6/2016,137.9
23/6/2016,139.19
24/6/2016,137.29
27/6/2016,137.11
28/6/2016,138.71
29/6/2016,140.52
30/6/2016,141.2
1/7/2016,140.86
5/7/2016,141.56
6/7/2016,142.38
7/7/2016,140.8
8/7/2016,141.27
11/7/2016,140.32
12/7/2016,139.86
13/7/2016,141.48
14/7/2016,140.84
15/7/2016,141.33
18/7/2016,140.75
19/7/2016,142.59
20/7/2016,143.02
21/7/2016,142.87
22/7/2016,143.69
25/7/2016,141.73
26/7/2016,141.7
27/7/2016,141.68
28/7/2016,142.76
29/7/2016,143.2
1/8/2016,143.51
2/8/2016,143.17
3/8/2016,142.88
4/8/2016,142.71
5/8/2016,142.99
8/8/2016,142.13
9/8/2016,141.82
10/8/2016,142.19
11/8/2016,142.63
12/8/2016,142.88
15/8/2016,141.62
16/8/2016,141.08
17/8/2016,141.71
18/8/2016,142.17
19/8/2016,142.04
22/8/2016,142.09
23/8/2016,142.01
24/8/2016,139.87
25/8/2016,137.3
26/8/2016,136.62
29/8/2016,137.27
30/8/2016,136.87
31/8/2016,136.05
